Shipment,Proportion
1,0.10
2,0.77
3,0.16
4,0.54
5,0.08
6,0.05
7,0.34
8,0.76
9,0.57
10,0.55
11,0.23
12,0.86
13,0.37
14,0.46
15,0.61
16,0.52
17,0.03
18,0.60
19,0.45
20,0.64
21,0.03
22,0.41
23,0.10
24,0.57
25,0.39
26,0.68
27,0.61
28,0.71
29,0.51
30,0.52
31,0.54
32,0.58
33,0.72
34,0.06
35,0.06
36,0.91
37,0.58
38,0.11
39,0.06
40,0.80
41,0.88
42,0.86
43,0.10
44,0.81
45,0.31
46,0.47
47,0.72
48,0.25
49,0.17
50,0.63
51,0.90
52,0.45
53,0.06
54,0.62
55,0.24
56,0.74
57,0.90
58,0.85
59,0.62
60,0.54
61,0.29
62,0.60
63,0.73
64,0.09
65,0.32
66,0.56
67,0.43
68,0.70
69,0.30
70,0.47
71,0.67
72,0.11
73,0.37
74,0.40
75,0.94
76,0.14
77,0.66
78,0.87
79,0.84
80,0.24
81,0.44
82,0.62
83,0.66
84,0.69
85,0.45
86,0.26
87,0.81
88,0.97
89,0.66
90,0.51
91,0.12
92,0.08
93,0.00
94,0.13
95,0.96
96,0.16
97,0.20
98,0.98
99,0.43
100,0.55
101,0.21
102,0.07
103,0.62
104,0.20
105,0.93
106,0.52
107,0.79
108,0.48
109,0.62
110,0.55
111,0.39
112,0.32
113,0.51
114,0.58
115,0.66
116,0.11
117,0.37
118,0.85
119,0.57
120,0.87
121,0.30
122,0.56
123,0.27
124,0.47
125,0.56
126,0.25
127,0.32
128,0.65
129,0.48
130,0.53
131,0.63
132,0.86
133,0.67
134,0.12
135,0.14
136,0.36
137,0.97
138,0.53
139,0.87
140,0.80
141,0.35
142,0.34
143,0.84
144,0.79
145,0.10
146,0.50
147,0.98
148,0.18
149,0.81
150,0.33
151,0.61
152,0.48
153,0.30
154,0.87
155,0.94
156,0.50
157,0.76
158,0.53
159,0.89
160,0.43
161,0.77
162,0.95
163,0.96
164,0.25
165,0.14
166,0.86
167,0.94
168,0.99
169,0.54
170,0.46
171,0.09
172,0.93
173,0.11
174,0.21
175,0.27
176,0.44
177,0.69
178,0.86
179,0.13
180,0.58
181,0.74
182,0.45
183,0.35
184,0.15
185,0.75
186,0.94
187,0.16
188,0.37
189,0.21
190,0.39
191,0.37
192,0.32
193,0.74
194,0.10
195,0.71
196,0.38
197,0.16
198,0.91
199,0.39
200,0.21
201,0.40
202,0.45
203,0.76
204,0.22
205,0.65
206,0.62
207,0.47
208,0.24
209,0.85
210,0.36
211,0.03
212,0.81
213,0.01
214,0.76
215,0.47
216,0.90
217,0.99
218,0.36
219,0.30
220,0.13
221,0.80
222,0.87
223,0.29
224,0.29
225,0.90
