Year,HealthCareTotal_Billions
1950,2.71
1951,2.94
1952,3.2
1953,3.25
1954,3.37
1955,3.43
1956,3.74
1957,4.15
1958,4.57
1959,5.07
1960,5.24
1961,5.68
1962,5.54
1963,6.09
1964,6.7
1965,7.15
1966,8.52
1967,12.74
1968,16.59
1969,19.38
1970,21.79
1971,24.67
1972,29.02
1973,31.25
1974,36.32
1975,44.65
1976,52.25
1977,59.69
1978,66.24
1979,75.21
1980,87.41
1981,102.12
1982,114.89
1983,125.23
1984,134.38
1985,149.04
1986,159.71
1987,172.05
1988,185.3
1989,196.33
1990,224.53
1991,250.26
1992,319.83
1993,348.24
1994,378.61
1995,409.37
1996,429.98
1997,454.72
1998,465.12
1999,476.71
2000,508.68
2001,558.06
2002,610.72
2003,663.88
2004,726.97
2005,793.57
2006,841.39
2007,913.16
2008,965.1
2009,1043.81
2010,1108.59
2011,1182.94
2012,1176.83
2013,1236.95
2014,1300.26
2015,1390.68
