Name,Size_MB,Time_sec,Year
Love Me Do,2.196106911,140,1962
From Me To You,1.821249008,116,1963
She Loves You,2.202838898,141,1963
I Want To Hold Your Hand,2.260591507,144,1963
Can't Buy Me Love,2.056509972,131,1964
A Hard Day's Night,2.389913559,153,1964
I Feel Fine,2.159613609,138,1964
Eight Days A Week,2.556793213,164,1964
Ticket To Ride,2.956098557,190,1964
Help!,2.167075157,138,1964
Yesterday,1.962264061,125,1965
Day Tripper,2.618452072,168,1965
We Can Work It Out,2.110718727,135,1965
Paperback Writer,2.160676003,138,1966
Yellow Submarine,2.465381622,158,1966
Eleanor Rigby,1.983876228,126,1966
Penny Lane,2.79382515,179,1967
All You Need Is Love,3.520160675,227,1967
"Hello, Goodbye",3.209428787,207,1967
Lady Madonna,2.138451576,136,1968
Hey Jude,6.552503586,424,1968
Get Back,2.979482651,192,1969
The Ballad Of John And Yoko,2.787801743,179,1969
Something,2.813666344,181,1969
Come Together,3.993159294,258,1969
Let It Be,3.57082653,230,1970
The Long And Winding Road,3.400755882,219,1970
