Date,30-year Rate,15-year Rate
8/30/1991,9.15,8.77
9/6/1991,9.14,8.79
9/13/1991,9.02,8.68
9/20/1991,8.95,8.62
9/27/1991,8.92,8.59
10/4/1991,8.87,8.51
10/11/1991,8.82,8.46
10/18/1991,8.82,8.45
10/25/1991,8.91,8.51
11/1/1991,8.78,8.41
11/8/1991,8.76,8.36
11/15/1991,8.69,8.32
11/22/1991,8.63,8.25
11/29/1991,8.70,8.29
12/6/1991,8.62,8.21
12/13/1991,8.53,8.10
12/20/1991,8.49,8.07
12/27/1991,8.35,7.90
1/3/1992,8.24,7.79
1/10/1992,8.23,7.79
1/17/1992,8.45,8.03
1/24/1992,8.56,8.14
1/31/1992,8.68,8.28
2/7/1992,8.67,8.30
2/14/1992,8.73,8.36
2/21/1992,8.82,8.43
2/28/1992,8.83,8.44
3/6/1992,8.85,8.48
3/13/1992,8.88,8.51
3/20/1992,9.03,8.69
3/27/1992,8.98,8.63
4/3/1992,8.96,8.57
4/10/1992,8.84,8.44
4/17/1992,8.76,8.38
4/24/1992,8.85,8.49
5/1/1992,8.84,8.46
5/8/1992,8.75,8.38
5/15/1992,8.64,8.26
5/22/1992,8.53,8.16
5/29/1992,8.60,8.21
6/5/1992,8.59,8.18
6/12/1992,8.54,8.12
6/19/1992,8.48,8.03
6/26/1992,8.43,7.98
7/3/1992,8.29,7.84
7/10/1992,8.13,7.67
7/17/1992,8.09,7.63
7/24/1992,8.08,7.61
7/31/1992,8.05,7.60
8/7/1992,8.06,7.59
8/14/1992,7.96,7.48
8/21/1992,7.87,7.38
8/28/1992,8.01,7.51
9/4/1992,7.94,7.44
9/11/1992,7.84,7.33
9/18/1992,7.89,7.37
9/24/1992,8.02,7.48
10/2/1992,7.93,7.37
10/9/1992,8.01,7.46
10/16/1992,8.06,7.51
10/23/1992,8.23,7.71
10/30/1992,8.21,7.68
11/6/1992,8.29,7.75
11/13/1992,8.32,7.79
11/20/1992,8.32,7.83
11/27/1992,8.29,7.81
12/4/1992,8.34,7.87
12/11/1992,8.23,7.77
12/18/1992,8.19,7.74
12/25/1992,8.13,7.65
12/31/1992,8.14,7.68
1/8/1993,8.07,7.60
1/15/1993,8.04,7.56
1/22/1993,8.00,7.51
1/29/1993,7.86,7.37
2/5/1993,7.80,7.29
2/12/1993,7.75,7.25
2/19/1993,7.65,7.12
2/26/1993,7.53,7.02
3/5/1993,7.44,6.91
3/12/1993,7.47,6.97
3/19/1993,7.57,7.07
3/26/1993,7.50,7.01
4/2/1993,7.53,7.03
4/9/1993,7.57,7.07
4/16/1993,7.45,6.93
4/23/1993,7.38,6.86
4/30/1993,7.43,6.91
5/7/1993,7.42,6.88
5/14/1993,7.42,6.86
5/21/1993,7.52,6.98
5/28/1993,7.50,6.99
6/4/1993,7.47,6.97
6/11/1993,7.48,6.98
6/18/1993,7.38,6.87
6/25/1993,7.34,6.84
7/2/1993,7.23,6.76
7/9/1993,7.19,6.71
7/16/1993,7.16,6.67
7/23/1993,7.20,6.70
7/30/1993,7.25,6.75
8/6/1993,7.21,6.72
8/13/1993,7.17,6.68
8/20/1993,7.10,6.62
8/27/1993,6.97,6.49
9/3/1993,6.93,6.45
9/10/1993,6.82,6.35
9/17/1993,6.96,6.49
9/24/1993,6.95,6.47
10/1/1993,6.89,6.41
10/8/1993,6.87,6.39
10/15/1993,6.81,6.36
10/22/1993,6.74,6.31
10/29/1993,6.86,6.40
11/5/1993,7.11,6.65
11/12/1993,7.12,6.64
11/19/1993,7.08,6.62
11/26/1993,7.31,6.84
12/4/1993,7.25,6.74
12/10/1993,7.14,6.65
12/17/1993,7.17,6.70
12/24/1993,7.17,6.69
12/31/1993,7.13,6.63
1/7/1994,7.23,6.74
1/14/1994,6.99,6.48
1/21/1994,7.05,6.57
1/28/1994,6.97,6.47
2/4/1994,6.97,6.46
2/11/1994,7.21,6.72
2/18/1994,7.11,6.64
2/25/1994,7.32,6.80
3/4/1994,7.51,7.01
3/11/1994,7.63,7.15
3/18/1994,7.76,7.27
3/25/1994,7.80,7.30
4/1/1994,8.04,7.55
4/8/1994,8.47,7.91
4/15/1994,8.26,7.72
4/22/1994,8.49,7.97
4/29/1994,8.32,7.85
5/6/1994,8.53,8.03
5/13/1994,8.77,8.25
5/20/1994,8.56,8.04
5/27/1994,8.53,7.99
6/3/1994,8.55,8.02
6/10/1994,8.25,7.79
6/17/1994,8.33,7.83
6/24/1994,8.46,8.00
7/1/1994,8.57,8.07
7/8/1994,8.68,8.15
7/15/1994,8.72,8.20
7/22/1994,8.53,8.05
7/29/1994,8.57,8.09
8/5/1994,8.38,7.90
8/12/1994,8.57,8.08
8/19/1994,8.54,8.05
8/26/1994,8.56,8.05
9/2/1994,8.48,7.96
9/9/1994,8.51,8.03
9/16/1994,8.66,8.15
9/23/1994,8.73,8.21
9/30/1994,8.82,8.31
10/7/1994,8.89,8.38
10/14/1994,8.93,8.40
